Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
344,Monte Morris,PG,27,WAS,62,61,27.3,4,8.3,0.48,1.3,3.3,0.382,2.7,5,0.543,0.555,1,1.2,0.831,0.4,3,3.4,5.3,0.7,0.2,1,1.2,10.3,morrimo01
345,Trey Murphy III,SF,22,NOP,77,63,30.8,4.8,10,0.482,2.6,6.3,0.41,2.2,3.7,0.605,0.611,2,2.3,0.902,0.7,2.8,3.6,1.4,1.1,0.5,0.8,2,14.2,murphtr02
346,Dejounte Murray,SG,26,ATL,73,73,36.3,8.3,17.8,0.463,1.8,5.3,0.345,6.4,12.6,0.512,0.514,2.2,2.6,0.831,0.7,4.6,5.3,6.1,1.5,0.3,2.2,1.4,20.5,murrade01
347,Jamal Murray,PG,25,DEN,64,64,32.9,7.3,16.1,0.453,2.6,6.6,0.398,4.7,9.5,0.492,0.535,2.8,3.3,0.832,0.7,3.2,4,6.2,1,0.2,2.2,1.5,20,murraja01
348,Keegan Murray,SF,22,SAC,78,76,29.8,4.4,9.7,0.454,2.6,6.3,0.416,1.8,3.4,0.524,0.589,0.8,1,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2.1,12.2,murrake02
349,Mike Muscala,C,31,TOT,61,8,14.6,1.9,4.4,0.435,1.2,3.2,0.39,0.7,1.2,0.553,0.576,0.5,0.7,0.767,0.5,2.6,3.1,0.8,0.2,0.4,0.3,1.6,5.7,muscami01
349,Mike Muscala,C,31,OKC,43,5,14.5,2.1,4.7,0.438,1.3,3.3,0.394,0.8,1.4,0.541,0.576,0.7,0.9,0.795,0.5,2.6,3.1,0.9,0.3,0.4,0.3,1.6,6.2,muscami01
349,Mike Muscala,C,31,BOS,18,3,14.8,1.6,3.8,0.426,1.1,2.9,0.377,0.5,0.8,0.6,0.574,0.1,0.2,0.5,0.4,2.6,2.9,0.5,0.2,0.3,0.4,1.4,4.4,muscami01
350,Svi Mykhailiuk,SF,25,TOT,30,6,13.4,2.1,4.5,0.47,1.2,2.5,0.467,0.9,2,0.475,0.601,0.7,1,0.645,0.3,1.1,1.4,1.4,0.4,0.1,0.5,0.6,6,mykhasv01
350,Svi Mykhailiuk,SF,25,NYK,13,0,3.1,0.5,0.9,0.5,0.5,0.8,0.6,0,0.2,0,0.75,0.2,0.4,0.6,0,0.5,0.5,0.1,0.1,0,0.2,0.1,1.6,mykhasv01
350,Svi Mykhailiuk,SF,25,CHO,17,6,21.3,3.4,7.2,0.467,1.7,3.8,0.446,1.6,3.4,0.491,0.586,1,1.5,0.654,0.5,1.5,2,2.4,0.6,0.2,0.8,1,9.4,mykhasv01
351,Larry Nance Jr.,PF,30,NOP,63,1,21.3,2.9,4.7,0.605,0.2,0.7,0.333,2.7,4.1,0.65,0.629,0.9,1.3,0.696,1.7,3.9,5.5,1.8,0.9,0.6,0.7,2.1,6.8,nancela02
352,Andrew Nembhard,SG,23,IND,73,61,27.5,3.7,8.5,0.437,1.2,3.6,0.35,2.5,5,0.499,0.51,0.6,0.8,0.782,0.5,2.2,2.6,4.4,0.9,0.2,1.6,2.4,9.3,nembhan01
353,Aaron Nesmith,SF,23,IND,71,58,25,3.4,8.1,0.423,1.6,4.3,0.364,1.8,3.7,0.492,0.521,1.6,1.9,0.841,0.9,2.9,3.8,1.4,0.8,0.4,1.1,3.2,10.1,nesmiaa01
354,Raul Neto,PG,30,CLE,46,1,10,1.1,2.1,0.526,0.3,0.8,0.316,0.8,1.2,0.667,0.589,0.5,0.6,0.889,0.2,0.8,0.9,1.4,0.3,0.1,0.3,0.9,3,netora01
355,Georges Niang,PF,29,PHI,76,0,19.3,2.8,6.3,0.436,1.9,4.9,0.397,0.8,1.4,0.569,0.589,0.5,0.6,0.864,0.3,2.1,2.3,1,0.4,0.2,0.6,1.9,8,niangge01
356,Daishen Nix,PG,20,HOU,56,7,16,1.4,4.2,0.343,0.7,2.5,0.29,0.7,1.7,0.421,0.429,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1,4,nixda01
357,Zeke Nnaji,PF,22,DEN,50,5,13.5,2,3.4,0.576,0.3,1,0.269,1.7,2.4,0.708,0.616,0.8,1.2,0.672,1.2,1.3,2.5,0.3,0.3,0.4,0.5,1.9,5,nnajize01
358,Nerlens Noel,C,28,TOT,17,4,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,noelne01
358,Nerlens Noel,C,28,DET,14,3,10.9,0.9,2.1,0.4,0.1,0.1,0.5,0.8,2,0.393,0.417,0.5,0.7,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3,noelne01
358,Nerlens Noel,C,28,BRK,3,1,14.3,0.3,2,0.167,0,0,,0.3,2,0.167,0.167,0.3,0.7,0.5,1,2,3,1,1,0.3,1.7,2.3,1,noelne01
359,Jaylen Nowell,SG,23,MIN,65,2,19.3,4.3,9.6,0.448,1,3.6,0.289,3.3,6,0.542,0.502,1.2,1.5,0.778,0.6,2.1,2.6,2,0.6,0.1,1,1.6,10.8,nowelja01
360,Frank Ntilikina,PG,24,DAL,45,3,11.8,0.9,2.5,0.36,0.3,1.3,0.25,0.6,1.2,0.481,0.425,0.4,0.6,0.704,0.1,1.1,1.3,1.2,0.3,0.1,0.6,1.3,2.6,ntilila01
361,Kendrick Nunn,SG-PG,27,TOT,68,2,13.6,2.7,6.4,0.428,1.1,3.1,0.355,1.6,3.3,0.498,0.515,0.4,0.5,0.829,0.2,1.3,1.5,1.2,0.4,0.1,0.9,0.9,7,nunnke01
361,Kendrick Nunn,SG,27,LAL,39,2,13.5,2.6,6.4,0.406,1.1,3.2,0.325,1.6,3.2,0.488,0.488,0.4,0.5,0.81,0.1,1.3,1.4,0.9,0.3,0.1,0.8,0.9,6.7,nunnke01
361,Kendrick Nunn,PG,27,WAS,29,0,13.7,2.9,6.3,0.457,1.2,3,0.398,1.7,3.3,0.51,0.552,0.4,0.5,0.857,0.3,1.3,1.6,1.7,0.6,0.1,1,1,7.4,nunnke01
362,Jusuf Nurkić,C,28,POR,52,52,26.8,5,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,0.561,2.4,3.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,nurkiju01
363,Jordan Nwora,SF,24,TOT,60,12,19,3,7,0.429,1.4,3.4,0.403,1.7,3.7,0.452,0.525,1.1,1.4,0.788,0.8,2.8,3.7,1.4,0.4,0.2,1.1,1.1,8.5,nworajo01
363,Jordan Nwora,SF,24,MIL,38,3,15.7,2,5.2,0.386,1.1,2.7,0.392,0.9,2.5,0.379,0.487,1,1.1,0.86,0.8,2.3,3.1,1,0.3,0.2,0.9,0.9,6,nworajo01
363,Jordan Nwora,SF,24,IND,22,9,24.7,4.8,10.2,0.467,1.9,4.5,0.414,2.9,5.7,0.508,0.558,1.4,1.9,0.714,0.9,3.7,4.6,2.1,0.5,0.3,1.3,1.5,12.8,nworajo01
364,Royce O'Neale,SF,29,BRK,75,53,31.8,3,7.8,0.389,2.1,5.5,0.392,0.9,2.3,0.382,0.527,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.8,0.7,1.5,3.2,8.9,onealro01
