Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
461,Terry Taylor,PF,23,TOT,29,2,8.2,1.1,2.3,0.485,0.2,0.7,0.263,1,1.7,0.571,0.522,0.2,0.2,0.714,0.8,0.6,1.4,0.3,0.1,0.2,0.3,0.9,2.6,taylote01
461,Terry Taylor,PF,23,IND,26,2,8.8,1.2,2.5,0.462,0.2,0.7,0.222,1,1.8,0.553,0.492,0.2,0.3,0.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7,taylote01
461,Terry Taylor,PF,23,CHI,3,0,3,1,1,1,0.3,0.3,1,0.7,0.7,1,1.167,0,0,,0.3,0,0.3,0,0,0,0,0.3,2.3,taylote01
462,Garrett Temple,SG,36,NOP,25,0,6.5,0.7,1.8,0.4,0.4,1,0.423,0.3,0.8,0.368,0.522,0.1,0.2,0.75,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6,2,templga01
463,Dalen Terry,SG,20,CHI,36,0,5.1,0.7,1.6,0.464,0.2,0.6,0.333,0.5,1,0.543,0.527,0.2,0.4,0.533,0.3,0.6,0.9,0.6,0.2,0.1,0.2,0.5,1.9,terryda01
464,Daniel Theis,C,30,IND,7,1,15.6,3,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1,2.1,3.1,1.3,0.3,0.9,0.4,1,7,theisda01
465,Cam Thomas,SG,21,BRK,56,3,16.2,3.3,7.6,0.433,0.8,2.2,0.36,2.5,5.4,0.464,0.486,2.6,3,0.861,0.1,1.5,1.7,1.4,0.3,0.1,1.1,1,10,thomaca02
466,Klay Thompson,SG,32,GSW,67,67,33.2,7.9,18.2,0.433,4.3,10.6,0.407,3.6,7.6,0.469,0.552,1.7,1.9,0.877,0.6,3.6,4.2,2.4,0.7,0.4,1.8,1.9,21.8,thompkl01
467,JT Thor,PF,20,CHO,67,6,13.6,1.4,3.3,0.412,0.5,1.7,0.319,0.8,1.6,0.509,0.493,0.4,0.6,0.674,0.5,1.6,2.1,0.5,0.3,0.3,0.6,1,3.7,thorjt01
468,Matisse Thybulle,SG,25,TOT,71,28,16.9,1.5,3.6,0.435,0.8,2.1,0.365,0.8,1.5,0.533,0.542,0.3,0.4,0.679,0.6,1.4,2,0.7,1.2,0.5,0.3,1.6,4.1,thybuma01
468,Matisse Thybulle,SG,25,PHI,49,6,12.1,1,2.4,0.431,0.4,1.3,0.333,0.6,1.1,0.547,0.522,0.2,0.2,0.75,0.4,0.9,1.3,0.5,0.9,0.3,0.2,1.3,2.7,thybuma01
468,Matisse Thybulle,SG,25,POR,22,22,27.7,2.7,6.2,0.438,1.5,3.9,0.388,1.2,2.4,0.519,0.558,0.5,0.7,0.625,0.9,2.6,3.5,1.4,1.7,0.8,0.7,2.2,7.4,thybuma01
469,Xavier Tillman Sr.,PF,24,MEM,60,29,19.4,3.1,5,0.615,0.1,0.3,0.267,3,4.7,0.634,0.622,0.8,1.5,0.551,2,3,5,1.6,0.9,0.5,0.7,1.6,7,tillmxa01
470,Isaiah Todd,PF,21,WAS,5,0,3.2,0.2,1,0.2,0,0.6,0,0.2,0.4,0.5,0.2,0,0,,0,0,0,0,0,0,0.2,0,0.4,toddis01
471,Obi Toppin,PF,24,NYK,65,3,15.2,2.6,6,0.439,1.2,3.6,0.339,1.4,2.4,0.591,0.541,0.5,0.6,0.81,0.4,2.3,2.7,0.9,0.3,0.2,0.6,1,7,toppiob01
472,Juan Toscano-Anderson,SF,29,TOT,49,8,12.9,1.2,2.4,0.492,0.1,0.7,0.212,1.1,1.8,0.598,0.521,0.3,0.4,0.789,0.5,1.8,2.3,1.1,0.3,0.2,0.7,1.5,2.9,toscaju01
472,Juan Toscano-Anderson,SF,29,LAL,30,7,12.2,1.1,2.2,0.5,0.1,0.7,0.2,1,1.5,0.63,0.53,0.4,0.5,0.733,0.5,1.6,2,0.8,0.3,0.2,0.6,1.5,2.7,toscaju01
472,Juan Toscano-Anderson,SF,29,UTA,19,1,14,1.4,2.8,0.481,0.2,0.7,0.231,1.2,2.2,0.561,0.509,0.2,0.2,1,0.5,2.3,2.7,1.5,0.2,0.1,0.8,1.5,3.1,toscaju01
473,Karl-Anthony Towns,PF,27,MIN,27,27,33.1,7.1,14.4,0.492,2,5.6,0.353,5.1,8.9,0.579,0.56,4.2,4.8,0.876,1.7,6.4,8.1,4.8,0.7,0.5,3,3.9,20.4,townska01
474,Gary Trent Jr.,SG,24,TOR,64,43,32.3,6.2,14.3,0.432,2.5,6.9,0.369,3.6,7.4,0.49,0.521,2.6,3.1,0.838,0.5,2.2,2.6,1.6,1.6,0.2,0.8,1.6,17.4,trentga02
475,P.J. Tucker,PF,37,PHI,74,74,25.6,1.3,3,0.426,0.7,1.9,0.396,0.5,1.1,0.476,0.549,0.3,0.3,0.826,1.3,2.7,3.9,0.8,0.5,0.2,0.6,2.4,3.6,tuckepj01
476,Myles Turner,C,26,IND,62,62,29.4,6.5,11.8,0.548,1.5,4,0.373,5,7.8,0.638,0.612,3.5,4.5,0.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,18,turnemy01
477,Stanley Umude,SG,23,DET,1,0,2,0,1,0,0,1,0,0,0,,0,2,2,1,0,0,0,0,1,1,0,0,2,umudest01
478,Jonas Valančiūnas,C,30,NOP,77,77,24.9,5.7,10.3,0.551,0.5,1.4,0.349,5.2,8.9,0.582,0.574,2.4,2.9,0.824,2.9,7.2,10.1,1.8,0.3,0.6,2,3.1,14.2,valanjo01
479,Jarred Vanderbilt,PF,23,TOT,76,63,24.3,3.2,5.8,0.548,0.4,1.2,0.326,2.8,4.6,0.603,0.58,1.2,1.8,0.686,2.2,5.3,7.6,2.4,1.1,0.3,1.3,2.5,8,vandeja01
479,Jarred Vanderbilt,PF,23,UTA,52,41,24.1,3.3,6,0.556,0.4,1.1,0.333,3,4.9,0.606,0.587,1.3,2,0.657,2.3,5.5,7.9,2.7,1,0.3,1.3,2.6,8.3,vandeja01
479,Jarred Vanderbilt,PF,23,LAL,24,22,24.5,2.9,5.5,0.527,0.4,1.3,0.313,2.5,4.1,0.596,0.565,1.1,1.5,0.771,2,4.9,6.9,1.7,1.3,0.3,1.2,2.3,7.3,vandeja01
480,Fred VanVleet,PG,28,TOR,68,68,36.8,6.4,16.2,0.394,3,8.8,0.342,3.4,7.4,0.457,0.487,3.7,4.1,0.896,0.4,3.7,4.1,7.2,1.8,0.6,2,2.8,19.5,vanvlfr01
481,Devin Vassell,SG,22,SAS,38,32,31,6.9,15.7,0.439,2.7,7,0.387,4.2,8.7,0.48,0.525,2.1,2.6,0.78,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5,vassede01
482,Gabe Vincent,PG,26,MIA,65,31,26.3,3.4,8.4,0.405,1.8,5.2,0.34,1.6,3.2,0.512,0.511,1,1.2,0.883,0.4,1.7,2.2,2.4,0.9,0.1,1.4,2.3,9.7,vincega01
483,Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1,0.458,0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,vonleno01
484,Nikola Vučević,C,32,CHI,80,80,33.8,7.3,14.1,0.52,1.5,4.3,0.349,5.8,9.8,0.594,0.573,1.6,1.9,0.83,2,9.1,11.1,3.3,0.7,0.7,1.7,2.2,17.7,vucevni01
485,Dean Wade,PF,26,CLE,42,11,20.1,1.6,3.9,0.409,1,2.8,0.345,0.6,1.1,0.578,0.534,0.4,0.5,0.652,0.4,2.9,3.4,0.8,0.6,0.5,0.3,2.1,4.5,wadede01
486,Franz Wagner,SF,21,ORL,78,78,32.9,6.9,14.1,0.486,1.7,4.6,0.364,5.2,9.6,0.545,0.545,3.3,4,0.837,0.9,3.2,4.1,3.6,0.9,0.2,2.1,2.3,18.8,wagnefr01
487,Moritz Wagner,C,25,ORL,56,17,19.4,3.5,6.9,0.506,0.9,2.8,0.31,2.6,4.1,0.643,0.57,2.7,3.2,0.844,1.2,3.3,4.6,1.5,0.7,0.2,1.2,2.4,10.6,wagnemo01
488,Ish Wainright,SF,28,PHO,57,1,15,1.4,3.7,0.38,1,2.8,0.342,0.5,0.9,0.5,0.509,0.4,0.5,0.862,0.8,1.5,2.3,0.9,0.7,0.4,0.4,1.9,4.2,wainris01
489,Jabari Walker,SF,20,POR,53,0,10.4,1.4,3.3,0.42,0.3,0.9,0.32,1.1,2.3,0.46,0.466,0.6,0.7,0.769,0.8,1.4,2.3,0.6,0.2,0.2,0.5,1.2,3.6,walkeja01
490,Kemba Walker,PG,32,DAL,9,1,16,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8,walkeke02
491,Lonnie Walker IV,SG,24,LAL,55,32,23.5,4.3,9.6,0.447,1.6,4.5,0.363,2.6,5.1,0.522,0.532,1.7,1.9,0.858,0.3,1.7,2,1.2,0.5,0.3,0.8,1.3,11.8,walkelo01
492,John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,0.408,1,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,walljo01
493,T.J. Warren,PF-SF,29,TOT,42,0,16.4,3.1,6.4,0.489,0.5,1.6,0.328,2.6,4.8,0.542,0.53,0.7,0.8,0.8,0.6,2.3,2.9,1,0.5,0.3,0.5,1.5,7.5,warretj01
493,T.J. Warren,PF,29,BRK,26,0,18.8,3.9,7.7,0.51,0.6,1.8,0.333,3.3,5.8,0.566,0.55,1,1.3,0.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5,warretj01
493,T.J. Warren,SF,29,PHO,16,0,12.3,1.9,4.4,0.429,0.4,1.2,0.316,1.5,3.2,0.471,0.471,0.1,0.1,0.5,0.8,2.3,3.1,0.7,0.4,0.3,0.2,1.3,4.2,warretj01
494,Duane Washington Jr.,SG,22,PHO,31,3,12.7,3,8.3,0.367,1.3,3.6,0.36,1.7,4.7,0.372,0.445,0.5,0.8,0.667,0.1,1.1,1.2,2,0.2,0.1,1.1,0.7,7.9,washidu02
495,P.J. Washington,PF,24,CHO,73,73,32.6,5.9,13.4,0.444,2,5.9,0.348,3.9,7.5,0.518,0.52,1.7,2.4,0.73,1,3.9,4.9,2.4,0.9,1.1,1.5,2.6,15.7,washipj01
496,TyTy Washington Jr.,PG,21,HOU,30,2,13.7,1.8,5.2,0.355,0.6,2.6,0.218,1.3,2.6,0.494,0.41,0.3,0.5,0.625,0.1,1.3,1.4,1.6,0.4,0.1,0.5,0.9,4.6,washity02
497,Yuta Watanabe,SF,28,BRK,56,0,15.9,2,4,0.498,1,2.3,0.453,0.9,1.7,0.558,0.628,0.6,0.8,0.733,0.5,1.9,2.4,0.8,0.4,0.3,0.4,1.4,5.6,watanyu01
498,Lindy Waters III,SG,25,OKC,39,0,12.9,1.6,4.2,0.388,1.4,3.9,0.358,0.3,0.4,0.714,0.552,0.4,0.5,0.8,0.3,1.5,1.8,0.7,0.3,0.3,0.3,1,5.1,waterli01
499,Trendon Watford,PF,22,POR,59,9,18.9,2.7,4.9,0.556,0.4,1,0.373,2.3,3.9,0.603,0.594,1.1,1.6,0.717,0.7,3.1,3.8,2,0.5,0.2,1.1,1.9,6.9,watfotr01
500,Peyton Watson,SG,20,DEN,20,0,5.9,1.2,2.1,0.548,0.3,0.6,0.545,0.9,1.6,0.548,0.619,0.1,0.2,0.25,0.3,1,1.3,0.3,0.1,0.4,0.2,0.4,2.7,watsope01
501,Blake Wesley,SG,19,SAS,34,1,17.2,1.7,5.6,0.302,0.5,1.4,0.34,1.2,4.3,0.29,0.344,0.8,1.2,0.619,0.3,1.7,2,2.5,0.6,0.1,1.7,1.8,4.6,weslebl01
502,Russell Westbrook,PG,34,TOT,71,22,29,5.8,13.5,0.433,1.2,3.9,0.305,4.6,9.6,0.486,0.478,2.8,4.3,0.655,1.1,4.7,5.8,7.5,1.1,0.5,3.5,2.3,15.7,westbru01
502,Russell Westbrook,PG,34,LAL,52,3,28.7,5.8,14,0.417,1.2,4.1,0.296,4.6,9.9,0.467,0.46,3,4.6,0.655,1.1,5,6.2,7.5,1,0.4,3.5,2.3,15.9,westbru01
502,Russell Westbrook,PG,34,LAC,19,19,30,5.8,12.1,0.485,1.2,3.5,0.333,4.7,8.6,0.546,0.533,2.3,3.5,0.652,1.1,3.6,4.7,7.6,1.2,0.5,3.5,2.1,15.1,westbru01
503,Coby White,SG,22,CHI,72,1,23.2,3.5,8,0.438,1.7,4.7,0.372,1.8,3.3,0.532,0.547,0.8,0.9,0.868,0.2,2.6,2.8,2.7,0.8,0.1,1,1.7,9.5,whiteco01
504,Derrick White,SG,28,BOS,80,68,28.6,4.3,9.4,0.461,1.9,4.8,0.382,2.5,4.5,0.544,0.559,2.1,2.3,0.877,0.6,3,3.6,3.9,0.7,1,1.1,2.2,12.5,whitede01
505,Jack White,SF,25,DEN,16,0,3.2,0.4,1,0.438,0.2,0.5,0.375,0.3,0.5,0.5,0.531,0.1,0.2,0.667,0.2,0.4,0.6,0.2,0.1,0.1,0.1,0.5,1.2,whiteja03
506,Joe Wieskamp,SF,23,TOR,7,0,4.7,0.4,1.1,0.375,0.4,1,0.429,0,0.1,0,0.563,0,0,,0,0.4,0.4,0.1,0,0,0.1,0.3,1.3,wieskjo01
507,Aaron Wiggins,SG,24,OKC,68,14,18.5,2.6,5.1,0.509,0.7,1.7,0.402,1.9,3.4,0.562,0.576,0.8,1,0.821,1,2,3,1.1,0.5,0.2,0.8,1.6,6.7,wiggiaa01
508,Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5,2.3,1.2,0.8,1.3,2.9,17.1,wiggian01
509,Lindell Wigginton,PG,24,MIL,5,0,3.6,0.6,1.8,0.333,0,0.8,0,0.6,1,0.6,0.333,0.4,0.4,1,0,0.2,0.2,0.4,0,0,0.4,0.4,1.6,wiggili01
510,Alondes Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0,willial06
511,Donovan Williams,SG,21,ATL,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0,willido02
512,Grant Williams,PF,24,BOS,77,23,26.2,2.8,6.1,0.457,1.5,3.7,0.399,1.3,2.4,0.549,0.58,1.2,1.5,0.771,1.1,3.5,4.6,1.7,0.5,0.4,1,2.5,8.3,willigr01
513,Jalen Williams,SG,21,OKC,74,61,30.4,5.5,10.6,0.523,1,2.7,0.358,4.6,7.9,0.58,0.569,2.1,2.6,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,willija06
514,Jaylin Williams,PF,20,OKC,48,35,18.6,2,4.7,0.434,0.9,2.3,0.398,1.1,2.5,0.466,0.529,0.8,1.1,0.704,0.9,4,4.9,1.5,0.6,0.3,0.8,2.3,5.8,willija07
515,Jeenathan Williams,SG,23,POR,2,1,21,2.5,6,0.417,0.5,2,0.25,2,4,0.5,0.458,0,0,,2,1,3,1.5,1.5,1,0.5,2,5.5,willije02
516,Kenrich Williams,PF,28,OKC,53,10,22.8,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4,0.608,0.59,0.3,0.7,0.436,1.8,3.1,4.9,2,0.8,0.3,0.6,2.1,8,willike04
517,Mark Williams,C,21,CHO,41,15,18.8,3.6,5.7,0.624,0,0,,3.6,5.7,0.624,0.624,1.5,2.2,0.685,2.2,4.7,6.9,0.4,0.6,1,0.9,2.1,8.6,willima07
518,Patrick Williams,PF,21,CHI,80,64,28.3,3.8,8.2,0.465,1.4,3.4,0.413,2.4,4.8,0.501,0.55,1.1,1.3,0.863,1,3,4,1.2,0.9,0.8,1.2,1.8,10.1,willipa01
519,Robert Williams,C,25,BOS,34,19,23.5,3.6,4.9,0.745,0,0,0,3.6,4.8,0.75,0.745,0.7,1.2,0.625,3,5.3,8.3,1.4,0.6,1.3,0.9,1.9,8,williro04
520,Vince Williams Jr.,SG,22,MEM,13,0,4.2,0.4,1.3,0.294,0.2,0.9,0.167,0.2,0.4,0.6,0.353,0,0,,0.2,0.4,0.5,0.2,0.3,0.1,0.1,0.5,0.9,willivi01
521,Ziaire Williams,SF,21,MEM,36,3,14.7,2.1,4.9,0.424,0.6,2.5,0.247,1.5,2.4,0.602,0.486,0.4,0.5,0.778,0.4,1.7,2.1,0.7,0.4,0.1,1,1.6,5.2,willizi02
522,Zion Williamson,PF,22,NOP,29,29,33,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,0.615,6.1,8.6,0.714,2,5,7,4.6,1.1,0.6,3.4,2.2,26,willizi01
523,Dylan Windler,SF,26,CLE,3,0,3.3,0.7,1,0.667,0.3,0.7,0.5,0.3,0.3,1,0.833,0,0,,0,0,0,0.3,0.3,0,0.3,0,1.7,windldy01
524,Justise Winslow,SF,26,POR,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1,0.714,1.7,3.3,5,3.4,1,0.4,1.5,3.1,6.8,winslju01
525,James Wiseman,C,21,TOT,43,20,19.4,4.3,7.6,0.561,0.1,0.5,0.2,4.2,7.2,0.584,0.567,1.5,2.1,0.703,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10.1,wisemja01
525,James Wiseman,C,21,GSW,21,0,12.5,2.8,4.5,0.628,0,0.1,0.5,2.8,4.4,0.63,0.633,1.2,1.8,0.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9,wisemja01
525,James Wiseman,C,21,DET,22,20,26,5.7,10.6,0.534,0.1,0.8,0.167,5.5,9.8,0.565,0.541,1.7,2.4,0.717,2.2,5.9,8.1,0.7,0.2,0.9,1.5,3,13.2,wisemja01
526,Christian Wood,C,27,DAL,67,17,25.9,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,0.583,3.2,4.2,0.772,1.3,6,7.3,1.8,0.4,1.1,1.8,2.5,16.6,woodch01
527,Delon Wright,PG,30,WAS,49,13,24.5,2.7,5.8,0.472,0.8,2.4,0.35,1.9,3.4,0.557,0.544,1,1.2,0.86,1.2,2.3,3.5,3.9,1.9,0.3,0.9,1.2,7.3,wrighde01
528,McKinley Wright IV,PG,24,DAL,25,1,11.3,1.4,3,0.473,0.3,0.9,0.318,1.1,2.1,0.538,0.52,0.4,0.6,0.688,0.3,1.3,1.6,2,0.3,0.2,0.7,0.8,3.5,wrighmc01
529,Gabe York,SG,29,IND,1,0,14,3,7,0.429,3,6,0.5,0,1,0,0.643,0,0,,0,1,1,1,0,0,0,0,9,yorkga01
530,Thaddeus Young,PF,34,TOR,54,9,14.7,2,3.7,0.545,0.1,0.6,0.176,1.9,3,0.622,0.561,0.3,0.5,0.692,1.3,1.8,3.1,1.4,1,0.1,0.8,1.6,4.4,youngth01
531,Trae Young,PG,24,ATL,72,72,34.7,8.2,19.1,0.429,2.1,6.3,0.337,6.1,12.8,0.474,0.484,7.7,8.7,0.886,0.8,2.2,3,10,1.1,0.1,4,1.4,26.2,youngtr01
532,Omer Yurtseven,C,24,MIA,6,0,6.2,0.8,1.5,0.556,0,0.2,0,0.8,1.3,0.625,0.556,0.3,0.5,0.667,0.7,0.8,1.5,0,0.2,0.2,0.2,1,2,yurtsom01
533,Cody Zeller,C,30,MIA,13,1,14.1,2.1,3.6,0.574,0,0.2,0,2.1,3.5,0.6,0.574,1.6,2.3,0.7,1.8,2.5,4.2,0.5,0.2,0.3,0.8,2.2,5.8,zelleco01
534,Ivica Zubac,C,25,LAC,74,74,28.7,4.3,6.7,0.631,0,0,0,4.3,6.7,0.634,0.631,2.2,3.2,0.695,3.1,6.8,10,1,0.4,1.3,1.6,2.9,10.7,zubaciv01
